  Parcel Number ,  Bedrooms ,  Appraised Value ,  Sales Price ,  Sales Date ,  Baths (Full) ,  Year Built (Res) 
17 019100071939,2,356900,423500,7/15/2020,2,2005
17 018500020082,2,788000,842500,7/15/2020,2,1940
17 0120 LL0463,2,2200000,3250000,7/15/2020,2,2003
17 011200021609,2,369500,357500,7/15/2020,2,2005
17 011000023714,2,637600,715000,7/15/2020,3,2010
17 011000021569,2,584600,675000,7/15/2020,2,2010
17 010700062444,2,394100,439900,7/15/2020,2,2006
17 004600050229,2,384100,492500,7/15/2020,1,1948
17 0032 LL4124,2,342800,0,7/15/2020,2,2012
17 0032 LL4124,2,342800,374000,7/15/2020,2,2012
14F0098 LL0074,2,81100,130000,7/15/2020,1,1970
14 021000010626,2,58300,10,7/15/2020,1,1950
14 017900050092,2,56100,0,7/15/2020,1,1950
14 016300140669,2,83300,58000,7/15/2020,1,1940
14 016300140669,2,83300,58000,7/15/2020,1,1940
14 015800030131,2,31300,70000,7/15/2020,2,1920
14 015800030131,2,31300,52500,7/15/2020,2,1920
14 013500030329,2,190100,159000,7/15/2020,1,1933
14 012100090220,2,120700,200000,7/15/2020,1,1927
14 009400030468,2,136800,110000,7/15/2020,2,1920
14 008100110331,2,512500,515000,7/15/2020,2,1900
14 0045 LL1254,2,319000,340000,7/15/2020,2,2006
14 004400031012,2,315300,359000,7/15/2020,2,2007
14 002300032049,2,281100,282000,7/15/2020,2,2005
14 002300020804,2,322600,320000,7/15/2020,2,2004
14 002200010111,2,408300,203000,7/15/2020,1,1920
14 001400090824,2,373900,440000,7/15/2020,1,1930
14 001200110376,2,309100,0,7/15/2020,1,1935
14 001200110376,2,309100,0,7/15/2020,1,1935
14 001200110376,2,309100,3400000,7/15/2020,1,1935
14 001200110301,2,384900,0,7/15/2020,1,1928
14 001200110301,2,384900,0,7/15/2020,1,1928
14 001200110301,2,384900,3400000,7/15/2020,1,1928
13 0124 LL0104,2,52300,155000,7/15/2020,1,1952
13 006400010419,2,62100,136000,7/15/2020,1,1955
06 036400030665,2,156200,164000,7/14/2020,1,1985
14 015600040165,2,143400,168500,7/14/2020,1,1910
14 013400070086,2,127200,10,7/14/2020,1,1948
14 011100040904,2,91300,76500,7/14/2020,2,1955
14 011100040904,2,91300,69000,7/14/2020,2,1955
14 004900341416,2,300400,320000,7/14/2020,2,2001
14 004900013403,2,300300,280900,7/14/2020,1,2005
14 004400021310,2,213000,205000,7/14/2020,1,1965
08 140000464195,2,423700,479900,7/14/2020,2,2016
12 184504000370,3,326600,0,19-Aug-20,2,1995
12 218305050414,3,169200,0,19-Aug-20,2,1983
14 016300170336,3,111900,22500,14-Aug-20,1,1960
14 018900051056,3,115700,0,6-Aug-20,1,1955
12 200404261589,3,371500,0,5-Aug-20,2,2002
14F002600030390,3,51000,0,5-Aug-20,1,1979
14 020900060376,3,117600,0,5-Aug-20,2,1963
14 013700010683,3,119500,0,5-Aug-20,2,1954
14 013700010683,3,119500,0,4-Aug-20,2,1954
14 021600030214,3,184300,63100,4-Aug-20,2,1960
14 021200030143,3,102200,98000,4-Aug-20,2,1980
14 021200030143,3,102200,80000,4-Aug-20,2,1980
14 015000050210,3,172500,415000,4-Aug-20,2,1930
14 014600010161,3,130900,161000,4-Aug-20,2,1960
12 200104250775,3,177400,0,3-Aug-20,1,1948
14F007100010107,3,245100,260000,3-Aug-20,2,1969
14F0047 LL0779,3,330000,1,3-Aug-20,2,2019
14F002600030895,3,42300,1,3-Aug-20,2,1983
14 017700170611,3,79000,75000,3-Aug-20,1,1950
12 211404910224,3,427000,478000,3-Aug-20,2,1984
12 200104250775,3,177400,750000,3-Aug-20,1,1948
12 190103871467,3,613400,607500,31-Jul-20,3,2018
14F006600040077,3,102100,123000,31-Jul-20,2,1967
14 0206 LL1671,3,118400,167000,31-Jul-20,2,2006
14 015800090317,3,155200,100000,31-Jul-20,1,1920
14 013400110155,3,170100,199000,31-Jul-20,2,1920
13 0193 LL0373,3,170000,198500,31-Jul-20,2,2006
13 0189 LL2490,3,174100,185000,31-Jul-20,2,2006
13 015800070030,3,26500,65900,31-Jul-20,2,1989
13 015800070030,3,26500,48000,31-Jul-20,2,1989
13 0133 LL5425,3,107800,125000,31-Jul-20,2,2008
13 009400020487,3,92000,55000,31-Jul-20,1,1966
